Question,en,es,fr
What type of animals are shown in the image?,The image shows giraffes.,Son jirafas.,Ce sont des girafes.
How many giraffes are visible in the image?,There are two giraffes in the image.,Hay dos jirafas visibles.,Deux girafes sont visibles.
What is the primary color of the giraffes?,The giraffes are brown with dark patches.,El color principal es marrón con manchas oscuras.,La couleur principale est brun avec des motifs noirs.
Are there any other animals in the image?,"No, there are no other animals visible.",No se ven otros animales en la imagen.,"Non, il n'y a pas d'autres animaux."
What type of terrain are the giraffes standing on?,The giraffes are standing on dry grass.,Están paradas en un terreno seco con pasto.,Elles se tiennent sur un sol herbeux.
What kind of vegetation is in the background?,The background has trees and shrubs.,En el fondo hay árboles y arbustos.,Il y a des arbres et des buissons en arrière-plan.
Are the giraffes in a natural habitat?,"No, they are not in a natural habitat.","No, parece ser un hábitat controlado o un zoológico.","Non, elles semblent être dans un environnement contrôlé."
How many trees are visible in the image?,Several trees are visible in the image.,Hay varios árboles visibles en la imagen.,Plusieurs arbres sont visibles.
Are the giraffes walking or standing still?,The giraffes are walking.,Las jirafas parecen estar caminando.,Les girafes marchent.
What patterns can be seen on the giraffes' bodies?,The giraffes have dark patches on their bodies.,Se pueden ver manchas oscuras sobre un fondo marrón.,On peut voir des motifs en forme de taches noires.
Is there a fence visible in the background?,"Yes, a fence is visible in the background.","Sí, hay una cerca visible en el fondo.","Oui, une clôture est visible."
Are the giraffes close to each other?,"Yes, the giraffes are close to each other.","Sí, están cerca una de la otra.","Oui, elles sont proches l'une de l'autre."
What is the weather like in the image?,The weather appears clear and sunny.,Parece ser un clima soleado y despejado.,Le temps semble clair et ensoleillé.
Is the ground dry or wet?,The ground looks dry.,El suelo está seco.,Le sol est sec.
Are there any rocks visible in the image?,"Yes, rocks are visible in the foreground.","Sí, hay rocas visibles en la imagen.","Oui, il y a des rochers visibles."
What man-made structures can you see?,A fence is visible in the image.,Se puede ver una cerca en el fondo.,Une clôture est visible.
How tall do the giraffes appear compared to the trees?,The giraffes are shorter than the trees.,Las jirafas son más bajas que los árboles.,"Non, elles semblent plus petites ou de taille similaire."
Are there any shadows visible in the image?,"Yes, shadows are visible.","Sí, hay sombras visibles en la imagen.","Oui, des ombres sont visibles."
Is the giraffe in the back darker than the one in front?,"Yes, the back giraffe is darker.","Sí, la jirafa del fondo es más oscura.","Oui, elle est plus foncée."
Is the area enclosed or open?,The area appears enclosed.,El área está cerrada.,La zone est fermée.
What is the position of the giraffes relative to each other?,One giraffe is slightly ahead of the other.,"Las jirafas están caminando cerca una de la otra, con una ligeramente delante de la otra.",Une girafe est légèrement devant l'autre.
How many legs are visible for each giraffe?,Four legs are visible for each giraffe.,Son visibles cuatro patas para cada jirafa.,Quatre jambes sont visibles pour chaque girafe.
Are there any visible signs of human presence?,"Yes, the fence indicates human presence.","Sí, hay una cerca visible en el fondo.","Oui, une clôture est visible."
What color is the giraffes’ pattern?,The giraffes' pattern is dark brown.,El patrón es marrón oscuro o negro sobre un fondo marrón claro.,Le motif est noir sur un fond brun.
Is there a clear path visible in the image?,"No, there is no clear path visible.","Sí, hay un camino de tierra visible en el primer plano.","Oui, un chemin est visible."
Are the giraffes interacting with each other?,"No, the giraffes are not interacting.","No, las jirafas no parecen estar interactuando entre sí.","Non, elles ne semblent pas interagir."
What might the giraffes be looking at?,The giraffes might be looking ahead.,Las jirafas podrían estar mirando hacia el entorno o algo en la distancia.,Elles semblent regarder devant elles.
Are the giraffes eating anything?,"No, the giraffes are not eating.","No, las jirafas no están comiendo nada visible.","Non, elles ne mangent rien."
Is there any visible water in the image?,"No, there is no water visible.","No, no hay agua visible en la imagen.","Non, il n'y a pas d'eau visible."
Are the giraffes facing the same direction?,"Yes, they are facing the same direction.","Sí, ambas jirafas miran en la misma dirección.","Oui, elles regardent dans la même direction."
